Name,ApiName,IsCustom,Description,IngestedBy,PopulatedBy,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,Owners,Stakeholders,IsFollowing,Definition,Notes,ManagedPackage,RawSalesforceId,SourceUrl
Platform Event Subscription,EventBusSubscriber,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventBusSubscriber/Details/view
Event Feed,EventFeed,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventFeed/Details/view
Event Log File,EventLogFile,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventLogFile/Details/view
Event Relation,EventRelation,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventRelation/Details/view
Event Relay Config,EventRelayConfig,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventRelayConfig/Details/view
Event Relay Feedback,EventRelayFeedback,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventRelayFeedback/Details/view
Event Who Relation,EventWhoRelation,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/EventWhoRelation/Details/view
ExpressionFilter,ExpressionFilter,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExpressionFilter/Details/view
ExpressionFilterCriteria,ExpressionFilterCriteria,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExpressionFilterCriteria/Details/view
Expression Set Template,ExpressionSetView,False,,,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExpressionSetView/Details/view
Data Share,ExtDataShare,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShare/Details/view
Data Share Feed,ExtDataShareFeed,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareFeed/Details/view
Data Share History,ExtDataShareHistory,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareHistory/Details/view
Data Share Target,ExtDataShareTarget,False,,Fivetran Data Loader,,,,,,,,False,,,,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/ExtDataShareTarget/Details/view
