Label,ParentDisplayName,Name,Type,PicklistValues,IngestedBy,PopulatedBy,Notes,Definition,Description,HelpText,Formula,ComplianceCategory,FieldUsageId,DataSensitivityLevelId,Owners,Stakeholders,IsFollowing,TagIds,Custom,Required,Unique,DefaultValue,Scale,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate,ManagedPackage,PopulationPercentage,ReferenceCount,PopulatedAndTotalRecords,SourceUrl
Billing Address,Account,BillingAddress,Address,,,,,,"The Billing Address field on the Account object is a compound field that stores the billing location information for the account. It is composed of several sub-fields, including street, city, state/province, postal code, and country. This field is used to specify the address where billing-related communications and invoices should be sent. The compound nature of this field allows for efficient storage and retrieval of complete address information in a structured format.","Enter the complete billing address for the account, including street, city, state, postal code, and country. This information is crucial for invoicing and correspondence. Ensure accuracy to avoid billing issues. If the billing address differs from the shipping address, update both fields accordingly. For more details, refer to our address entry guidelines or contact support.",,"CCPA, GDPR, PII",Active,MissionCritical,Mitchell Blanchard,"Finance, Marketing, Customer Success",TRUE,"Finance Fields, Compliance",FALSE,FALSE,FALSE,,0,,,,,,,37,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Billing Address/view
Shipping Address,Account,ShippingAddress,Address,,,,,,,,,,,,Mitchell Blanchard,"Melissa Trubacz, Emily Glaze, Finance",FALSE,,FALSE,FALSE,FALSE,,0,,,,,,,37,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Shipping Address/view
Phone,Account,Phone,Phone,,"Hubspot, Fivetran Data Loader",,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,0,,,,,,87,35,"21,174 / 24,540",https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Phone/view
Fax,Account,Fax,Fax,,"Hubspot, Fivetran Data Loader",,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,0,,,,,,1,3,"43 / 24,540",https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Fax/view
Account Number,Account,AccountNumber,Text(40),,Fivetran Data Loader,,,,,,,,,,Jack Fraser,,FALSE,,FALSE,FALSE,FALSE,,0,,,,,,0,4,"0 / 24,540",https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Account Number/view
Website,Account,Website,URL(255),,"Hubspot, Fivetran Data Loader, Qualified, UserGems, ChurnZeroConnectedApp_SonarSoftware",,,,,,,,,,Mitchell Blanchard,Emily Glaze,FALSE,Maxio,FALSE,FALSE,FALSE,,0,,,,,,98,40,"24,213 / 24,540",https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Website/view
Photo URL,Account,PhotoUrl,URL(255),,Fivetran Data Loader,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,,0,,,,,,,0,,https://sonar1.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Photo URL/view
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
